,Unnamed: 0,dvrpc_2010,dvrpc_2015,naip_2010,naip_2015
192,192,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:181:88985.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:181:88985.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:181:88985.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:181:88985.png
230,230,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-742:88482.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-742:88482.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-742:88482.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-742:88482.png
235,235,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-896:88958.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-896:88958.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-896:88958.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-896:88958.png
237,237,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-247:88271.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-247:88271.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-247:88271.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-247:88271.png
244,244,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-1114:88502.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-1114:88502.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-1114:88502.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-1114:88502.png
253,253,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-838:88599.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-838:88599.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-838:88599.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-838:88599.png
269,269,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:357:88948.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:357:88948.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:357:88948.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:357:88948.png
272,272,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-792:88911.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-792:88911.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-792:88911.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-792:88911.png
278,278,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-536:88494.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-536:88494.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-536:88494.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-536:88494.png
291,291,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-201:88290.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-201:88290.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-201:88290.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-201:88290.png
312,312,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-438:88726.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-438:88726.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-438:88726.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-438:88726.png
317,317,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-110:89276.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-110:89276.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-110:89276.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-110:89276.png
318,318,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:3:88924.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:3:88924.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:3:88924.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:3:88924.png
321,321,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-425:88719.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-425:88719.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-425:88719.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-425:88719.png
323,323,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-241:89695.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-241:89695.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-241:89695.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-241:89695.png
326,326,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-1332:88258.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-1332:88258.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-1332:88258.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-1332:88258.png
338,338,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-572:89104.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-572:89104.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-572:89104.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-572:89104.png
355,355,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-731:89330.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-731:89330.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-731:89330.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-731:89330.png
357,357,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-8:88918.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-8:88918.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-8:88918.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-8:88918.png
364,364,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-556:88832.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-556:88832.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-556:88832.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-556:88832.png
366,366,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-615:88785.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-615:88785.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-615:88785.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-615:88785.png
367,367,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-616:88793.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-616:88793.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-616:88793.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-616:88793.png
376,376,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-172:88310.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-172:88310.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-172:88310.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-172:88310.png
378,378,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-280:88681.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-280:88681.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-280:88681.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-280:88681.png
379,379,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-1131:88203.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-1131:88203.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-1131:88203.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-1131:88203.png
383,383,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-1143:88167.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-1143:88167.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-1143:88167.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-1143:88167.png
385,385,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-444:89154.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-444:89154.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-444:89154.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-444:89154.png
416,416,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-656:89398.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-656:89398.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-656:89398.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-656:89398.png
427,427,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-520:88518.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-520:88518.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-520:88518.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-520:88518.png
443,443,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:82:89036.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:82:89036.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:82:89036.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:82:89036.png
